fecha,operaciones,monto
2021-01-01,1145,5233079.98
2021-01-02,2954,12113625.61
2021-01-03,4073,13373969.04
2021-01-04,5102,18387131.28
2021-01-05,7666,23800932.74
2021-01-06,7792,23848630.3
2021-01-07,8245,27942034.05
2021-01-08,8436,25895387.58
2021-01-09,9073,26898557.52
2021-01-10,8620,26007723.5
2021-01-11,9158,28925990.12
2021-01-12,8495,25560850.41
2021-01-13,8621,25166099.88
2021-01-14,9114,27173763.22
2021-01-15,9936,30584724.38
2021-01-16,9549,28413014.17
2021-01-17,8832,25656606.96
2021-01-18,9774,29918244.59
2021-01-19,9829,27989753.41
2021-01-20,10186,29237816.33
2021-01-21,10317,28228356.95
2021-01-22,10703,30475046.14
2021-01-23,10663,30978520.24
2021-01-24,9474,25536779.58
2021-01-25,9686,27729501.96
2021-01-26,9462,26253823.01
2021-01-27,8747,24149502.28
2021-01-28,8703,23751774.82
2021-01-29,8190,22303631.37
2021-01-30,8148,24499777.28
2021-01-31,7505,22661159.52
2021-02-01,9525,34996657.53
2021-02-02,10200,33192830.54
2021-02-03,10401,33077107.96
2021-02-04,11747,36046092.19
2021-02-05,12546,36189712.99
2021-02-06,13993,41014661.04
2021-02-07,13344,37919409.41
2021-02-08,12889,39832187.4
2021-02-09,11831,33403162.32
2021-02-10,11247,31862556.33
2021-02-11,11495,32763583.55
2021-02-12,11687,34049646.01
2021-02-13,13604,40673919.98
2021-02-14,12241,33850851.66
2021-02-15,12605,34546078.27
2021-02-16,11369,31684573.83
2021-02-17,9295,26093255.75
2021-02-18,9200,25528763.19
2021-02-19,9783,27066488.57
2021-02-20,9931,25825671.1
2021-02-21,8805,23134042.73
2021-02-22,7739,21762670.97
2021-02-23,6951,18827677.78
2021-02-24,6727,18537643.98
2021-02-25,6853,19033549.1
2021-02-26,7424,20373118.85
2021-02-27,7618,19925278.2
2021-02-28,6230,17129123.48
2021-03-01,6189,20762019.54
2021-03-02,6330,20565988.78
2021-03-03,6704,20327442.07
2021-03-04,7014,20843005.03
2021-03-05,8006,23299834.23
2021-03-06,9470,27399507.84
2021-03-07,8527,23754106.72
2021-03-08,7423,23451125.61
2021-03-09,6969,20160465.18
2021-03-10,6746,20087782.95
2021-03-11,7011,21827779.56
2021-03-12,7424,21218658.13
2021-03-13,7999,21632694.09
2021-03-14,6577,18474332.53
2021-03-15,5976,18932106.05
2021-03-16,5452,16260430.8
2021-03-17,5796,17318437.86
2021-03-18,5557,15833608.96
2021-03-19,6526,18369228.29
2021-03-20,6538,17355995.68
2021-03-21,5814,16515060.8
2021-03-22,4932,15723374.32
2021-03-23,5261,15662951.57
2021-03-24,5296,15457480.38
2021-03-25,4652,13878276.01
2021-03-26,5347,15355290
2021-03-27,6033,16665230.87
2021-03-28,4684,13425825.6
2021-03-29,3843,11862904.81
2021-03-30,3776,10817091.24
2021-03-31,4691,16810506.63
2021-04-01,6607,22562039.83
2021-04-02,6549,17551932.56
2021-04-03,6874,18040092.9
2021-04-04,4856,14889441.88
2021-04-05,3264,10040410.85
2021-04-06,3061,8091690.76
2021-04-07,3013,7741994.79
2021-04-08,3010,8244448.55000001
2021-04-09,3496,8937894.34999999
2021-04-10,3689,9436382.3
2021-04-11,3262,8124237.7
2021-04-12,2608,6752203.4
2021-04-13,2554,6418994.39
2021-04-14,2511,6592452.36
2021-04-15,2576,6566167.06
2021-04-16,2861,7183141.25
2021-04-17,3364,7417597.54
2021-04-18,2493,5921637.86
2021-04-19,1860,5690666.94
2021-04-20,1957,5052165.25
2021-04-21,1868,4628977.06
2021-04-22,1850,4966914.43
2021-04-23,2213,6091182.45
2021-04-24,2678,6225481.21
2021-04-25,2065,5102758.47
2021-04-26,1463,3675035.88
2021-04-27,1470,3231853.89
2021-04-28,1476,3490089.84
