clae,prestadores,edicion,establecimientos,clae6_desc,clae3,clae3_desc,clae2,clae2_desc,letra,letra_desc
103012,9,previaje 1,s/d,"Elaboración y envasado de dulces, mermeladas y jaleas",103,"Preparación de frutas, hortalizas y legumbres",10,Elaboración de productos alimenticios,C,INDUSTRIA MANUFACTURERA
105030,5,previaje 1,s/d,Elaboración industrial de helados,105,Elaboración de productos lácteos,10,Elaboración de productos alimenticios,C,INDUSTRIA MANUFACTURERA
107129,29,previaje 1,s/d,"Elaboración de productos de panadería n.c.p. (Incluye la elaboración de pan, facturas, churros, pre-pizzas, masas de hojaldre, masas fritas, tortas, tartas, etc), (No incluye la fabricación de sándwich 561040)",107,Elaboración de productos alimenticios ncp,10,Elaboración de productos alimenticios,C,INDUSTRIA MANUFACTURERA
107301,34,previaje 1,s/d,Elaboración de cacao y chocolate,107,Elaboración de productos alimenticios ncp,10,Elaboración de productos alimenticios,C,INDUSTRIA MANUFACTURERA
107309,17,previaje 1,s/d,"Elaboración de productos de confitería n.c.p. (Incluye alfajores, caramelos, frutas confitadas, pastillas, gomas de mascar, etc.)",107,Elaboración de productos alimenticios ncp,10,Elaboración de productos alimenticios,C,INDUSTRIA MANUFACTURERA
110212,52,previaje 1,s/d,Elaboración de vinos (Incluye el fraccionamiento),110,Elaboración de bebidas,11,Elaboración de bebidas,C,INDUSTRIA MANUFACTURERA
110290,1,previaje 1,s/d,Elaboración de sidra y otras bebidas alcohólicas fermentadas,110,Elaboración de bebidas,11,Elaboración de bebidas,C,INDUSTRIA MANUFACTURERA
110300,23,previaje 1,s/d,"Elaboración de cerveza, bebidas malteadas y malta",110,Elaboración de bebidas,11,Elaboración de bebidas,C,INDUSTRIA MANUFACTURERA
321012,4,previaje 1,s/d,Fabricación de objetos de platería,321,"Fabricación de joyas, bijouterie y artículos conexos",32,Industrias manufactureras diversas,C,INDUSTRIA MANUFACTURERA
463211,17,previaje 1,s/d,Venta al por mayor de vino,463,"Venta al por mayor de alimentos, bebidas y tabaco",46,Comercio al por mayor excepto autos y motos,G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
477210,106,previaje 1,s/d,"Venta al por menor de artículos de talabartería y artículos regionales (Incluye venta de artículos regionales de cuero, plata, alpaca y similares)",477,"Venta al por menor de productos ncp, en comercios especializados",47,Comercio al por menor excepto autos y motos,G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
477290,34,previaje 1,s/d,"Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p.",477,"Venta al por menor de productos ncp, en comercios especializados",47,Comercio al por menor excepto autos y motos,G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
477490,89,previaje 1,s/d,"Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas,  de artículos religiosos -santerías-, recarga de matafuegos,  etc.)",477,"Venta al por menor de productos ncp, en comercios especializados",47,Comercio al por menor excepto autos y motos,G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
477830,3,previaje 1,s/d,Venta al por menor de antigüedades (Incluye venta de antigüedades en remates),477,"Venta al por menor de productos ncp, en comercios especializados",47,Comercio al por menor excepto autos y motos,G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
491120,2,previaje 1,s/d,Servicio de transporte ferroviario interurbano de pasajeros,491,Servicio de transporte ferroviario,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492110,7,previaje 1,s/d,Servicio de transporte automotor urbano y suburbano regular de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492140,33,previaje 1,s/d,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para ámbito portuario o aeroportuario, servicio de hipódromos y espectáculos deportivos y culturales)",492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492150,85,previaje 1,s/d,"Servicio de transporte automotor interurbano regular de pasajeros, E1203excepto transporte internacional (Incluye los llamados servicios de larga distancia)",492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492160,24,previaje 1,s/d,Servicio de transporte automotor interurbano no regular de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492180,223,previaje 1,s/d,Servicio de transporte automotor turístico de pasajeros,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
492190,88,previaje 1,s/d,Servicio de transporte automotor de pasajeros n.c.p.,492,Servicio de transporte automotor,49,Transporte terrestre y por tuberías,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
501100,18,previaje 1,s/d,Servicio de transporte marítimo de pasajeros,501,Servicio de transporte marítimo,50,Transporte marítimo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
502101,20,previaje 1,s/d,Servicio de transporte fluvial y lacustre de pasajeros,502,Servicio de transporte fluvial y lacustre,50,Transporte marítimo y pluvial,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
511000,16,previaje 1,s/d,Servicio de transporte aéreo de pasajeros,511,Servicio de transporte aéreo de pasajeros,51,Transporte aéreo,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
522091,3,previaje 1,s/d,Servicios de usuarios directos de zona franca,522,Servicios de almacenamiento y depósito,52,Almacenamiento y logística,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
524130,1,previaje 1,s/d,Servicios de estaciones terminales de ómnibus y ferroviárias,524,Servicios complementarios para el transporte,52,Almacenamiento y logística,H,SERVICIO DE TRANSPORTE Y ALMACENAMIENTO
551022,1339,previaje 1,s/d,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551023,2926,previaje 1,s/d,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que no incluyen servicio de restaurante al público",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
551090,1822,previaje 1,s/d,"Servicios de hospedaje temporal n.c.p. (Incluye hospedaje en estancias, residencias para estudiantes y albergues juveniles, apartamentos turísticos, etc.)",551,"Servicios de alojamiento, excepto en camping",55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
552000,93,previaje 1,s/d,Servicios de alojamiento en campings (Incluye refugios de montaña),552,Servicios de alojamiento en campings,55,Servicios de alojamiento,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561011,351,previaje 1,s/d,Servicios de restaurantes y cantinas sin espectáculo,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
561012,79,previaje 1,s/d,Servicios de restaurantes y cantinas con espectáculo,561,Servicios de expendio de comidas y bebidas,56,Servicios de expendio de alimentos y bebidas,I,SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
